COMMODITY,APRIL,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,TOTAL
SAPOTA,10077.4,7619.4,2237.7,459.4,1342.0,1689.2,989.7,4215.4,8013.7,6295.2,7566.1,8145.0,58650.2
DATE,960.0,724.9,1756.8,413.9,90.5,262.2,802.0,1475.1,1812.0,1094.8,953.3,609.7,10955.2
FALSA,13.6,193.0,57.1,,,0.6,,,,,,,264.3
GRAPES,3011.9,1208.1,270.5,98.1,143.1,267.6,770.7,1474.2,1696.5,5393.6,11808.4,12148.8,38291.5
GRAY FRUIT,15.5,,,,,,,,,,,,15.5
JAMUN,28.6,42.9,812.6,2335.4,25.7,,12.0,,,14.2,,0.9,3272.3
JAPANI PHAL,,,,,,,,6.9,1.7,,0.3,,8.9
KHIRNI,,2.9,,,,,0.6,,,,,,3.5
KINNOO,1217.6,25.5,1.7,,0.4,742.0,7345.5,7018.8,13297.0,19902.9,17444.1,5463.1,72458.6
KIWI,328.9,309.8,176.8,178.5,240.6,422.2,574.2,657.2,436.9,388.9,482.4,426.4,4622.8
LOQUATE,235.1,12.8,,0.5,,,,,,,,56.9,305.3
LITCHI,6.7,5532.5,5294.8,1125.9,7.3,6.0,1.0,3.3,5.0,3.9,3.0,2.6,11992.0
MALTA,18.9,42.9,23.3,17.1,49.4,262.4,1476.4,225.7,,0.8,9.3,111.1,2237.3
MITHA,,,,2.1,56.2,71.4,14.4,,,,,,144.1
MANGO,17320.6,40056.4,57800.9,59298.9,11234.6,1761.3,234.4,146.1,108.1,74.0,204.5,1660.1,189899.9
MANGO ST,11.0,1.9,3.0,1.4,2.7,2.8,2.1,2.6,3.7,3.2,2.5,1.1,38.0
MELON,7762.1,12032.8,15596.8,1733.1,998.7,1893.5,2219.2,2443.8,1514.4,2234.5,2997.9,4128.4,55555.2
MULBERRY,0.5,,,,,,,,,0.5,0.2,0.1,1.3
MOSAMBI,17976.3,19003.9,20330.1,25040.2,32725.9,42958.9,21994.0,6505.5,2788.6,2378.3,5113.5,9445.3,206260.5
NAKH,56.9,44.3,56.9,87.9,73.2,783.4,356.7,301.7,82.1,106.6,122.1,16.2,2088.0
ORANGE,9415.5,765.2,286.6,98.5,235.1,2985.3,10210.4,12507.5,10309.7,4206.6,10101.3,15682.7,76804.4
COMMODITY,APRIL,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,TOTAL
PEARS,472.7,296.3,367.9,7361.9,5834.1,549.4,470.6,436.8,241.1,258.6,397.1,414.0,17100.5
PEACH,260.7,982.0,3437.9,2102.5,47.2,0.3,7.2,0.4,0.5,2.3,4.4,4.7,6850.1
PAPAYA,8275.0,5566.3,5790.4,5722.2,4623.8,5228.2,6043.4,4239.4,6360.5,8168.7,8377.5,9820.6,78216.0
