COMMODITY,APRIL,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,TOTAL
APPLE,1630.2,1729.9,2179.7,2539.5,391.0,152.3,191.0,399.9,396.6,718.6,1907.8,1436.2,13672.7
AMROOD,8.8,7.3,7.7,6.6,5.9,7.0,10.4,11.5,7.9,6.9,5.9,2.7,88.6
POMEGRANATE,4.6,,,,,10.7,140.5,142.6,25.7,,5.6,,329.7
APRICOT,,,5.2,57.9,54.3,3.3,,,,,,,120.7
IMLI,22.8,12.6,0.6,11.1,4.1,4.9,18.7,31.4,2.2,64.8,28.3,17.4,218.9
GRAPES,112.3,64.0,71.1,80.2,195.1,296.7,481.0,465.8,209.0,241.3,127.0,47.3,2390.8
KIWI,977.2,822.2,752.4,1001.2,823.9,1191.2,1477.5,2003.1,966.2,1016.5,1029.9,798.4,12859.7
MALTA,528.4,716.3,507.8,394.9,275.3,349.8,458.3,157.1,122.0,119.5,161.3,146.2,3936.9
ORANGE,160.4,246.2,152.4,156.4,133.2,278.5,199.2,84.3,78.2,66.0,35.9,27.0,1617.7
MANGO,,,0.3,,,,,,,14.4,3.4,,18.1
MANGO ST,0.4,0.5,19.5,,,0.3,0.3,0.2,0.7,2.5,0.1,,24.5
MELON,3.4,3.8,2.5,2.9,2.5,3.5,4.4,4.9,3.5,2.4,2.6,1.1,37.5
DATE,1946.8,2066.7,319.0,230.0,430.5,352.6,919.6,1497.8,2616.7,1740.3,1158.3,746.6,14024.9
PEARS,379.1,439.8,450.2,151.7,88.9,145.7,413.2,352.2,205.2,221.0,151.7,240.9,3239.6
PEACH,0.1,0.1,0.3,,0.9,1.4,0.1,1.7,17.3,63.3,2.5,4.0,91.7
B.GOSHA,,2.0,0.5,,,,,,1.8,22.1,19.8,,46.2
NAKH,,,,,15.9,30.3,4.0,75.0,,,,,125.2
ASPERAGUS,3.5,2.6,3.2,2.6,2.9,3.1,5.4,3.9,3.6,2.6,2.0,1.2,36.6
LITCHI,2.6,0.4,0.7,0.3,1.1,0.4,0.2,0.9,1.7,3.0,3.0,0.3,14.6
PLUM,36.0,28.6,4.2,43.8,170.7,241.6,173.7,183.5,47.2,90.0,57.5,14.7,1091.5
DRAGAN,91.9,62.3,8.8,44.3,50.0,89.0,132.2,291.8,214.4,339.2,234.2,179.4,1737.5
YAPEAR,,,,,,,,,,,,,0.0
CHERRY,,0.7,3.7,28.7,16.2,,0.1,9.9,15.8,17.5,7.5,,100.1
SHANDONG,,,,,,,,,,,0.3,,0.3
KERREN,,,,,,,,,,,,,0.0
LAMBODANA,6.4,5.4,5.4,4.8,3.6,5.3,6.8,5.0,4.7,4.6,4.3,1.2,57.5
W.MELON,,,,,,,,,,,,,0.0
STRAWBERRY,,,,,,,,,,,,,0.0
LEMON,,0.8,0.8,1.5,,0.7,1.9,,2.1,,,,7.8
CHAKOTRA,,,,,,,,,,,,,0.0
FIG,,,,,,,,,,,,,0.0
