COMMODITY,APRIL,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,TOTAL
AVACADA,0.6,0.9,,,,0.6,,0.7,0.3,0.6,,,3.7
SARDHA,,,,26.3,30.2,319.5,359.9,599.3,386.7,470.8,698.6,1086.5,3977.8
M.GINGER,,,,,,,,,,,,,0.0
ONION,,,,,,,,,,,,,0.0
TOTAL,4024.6,7081.0,6055.0,5516.0,4349.9,6034.6,5580.0,6012.0,5291.0,5070.2,5119.0,5769.9,65903.2
COMMODITY,APRIL,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,TOTAL
POTATO,38690.1,34092.0,28225.6,32472.0,33967.0,33357.5,42406.6,43560.8,44670.2,43339.3,36965.6,40547.8,452294.5
AMLA,108.1,102.6,147.2,96.1,152.5,177.2,523.6,1053.0,1553.6,1272.5,932.3,797.7,6916.4
ARVI,2593.8,8239.2,5627.0,3401.9,2779.8,1658.4,870.2,372.9,290.1,238.4,704.6,1184.4,27960.7
ARVI LEAES,,0.1,12.9,5.4,8.1,4.0,1.3,,,,,,31.8
AMRAH,,,35.0,1.5,9.0,1.7,0.7,,,,,,47.9
BRINJAL,2060.4,1890.6,1888.3,2947.6,2431.1,1668.8,2481.3,1800.5,1530.8,1654.4,2318.0,3142.1,25813.9
LADY FINGER,4927.0,2887.5,2846.9,2574.2,2788.5,1977.5,1479.2,921.3,1782.6,2243.3,3685.0,4875.9,32988.9
BATHUA,25.6,27.2,18.1,36.1,12.2,0.4,25.3,206.9,456.7,432.7,216.2,34.8,1492.2
BEEN,3072.2,1332.7,943.8,1600.8,1283.5,1707.1,1309.6,1131.7,1410.4,2192.3,2587.3,2313.3,20884.7
BAKLA,8.7,9.6,5.4,,,2.4,1.1,1.3,,9.1,73.4,150.5,261.5
BROKLI,286.4,106.1,23.9,127.0,127.1,117.8,41.7,215.3,294.5,439.5,443.4,313.7,2536.4
CABBAGE,2115.0,3044.9,4178.2,3824.8,4549.6,5641.6,5451.8,5185.9,3992.9,3372.0,2466.6,2690.5,46513.8
CHUKANDAR,582.2,546.9,745.3,847.2,953.8,918.4,944.9,1211.6,1748.8,1263.5,938.3,709.8,11410.7
CHHOLIA PLANT,12.0,,,,,,,0.3,,0.1,112.3,906.7,1031.4
CHHOLIA DANA,42.5,0.4,0.2,,1.5,2.5,0.1,36.3,207.3,322.6,337.4,301.7,1252.5
CHHOLIA LEAVES,,,,1.3,0.3,,,,,1.7,0.1,,3.4
CHOLAI,57.9,96.0,112.5,124.0,95.6,72.4,43.0,38.7,29.7,20.1,19.0,17.5,726.4
CHONGA,0.4,,,,,,,,,,,,0.4
CHIRCHINDA,7.0,6.3,37.9,17.3,46.7,58.6,15.0,2.1,4.3,,1.3,0.7,197.2
CUCUMBER,9841.7,9650.7,6940.6,8850.1,6525.0,5322.9,5536.6,4895.3,5745.1,4189.1,4843.8,7062.1,79403.0
M.CHILLI,9995.2,7846.7,5580.6,5960.5,7162.0,9254.3,10217.7,10383.1,12791.0,14524.4,12378.3,16264.8,122358.6
CARROTS,3627.4,1713.9,1805.9,2016.6,2285.8,2363.2,4395.0,15882.0,19036.4,16966.6,13777.4,8378.2,92248.4
CARROTS (B),8.4,,,,,,,6.2,33.6,38.2,49.3,53.1,188.8
CAULIFLOWER,3294.5,4638.6,5316.5,6029.5,6642.1,8971.2,6183.4,4960.7,4335.8,6147.5,4627.7,3347.1,64494.6
G.GOBHI,1.1,0.6,,0.2,,,1.6,9.9,9.1,10.9,7.5,2.3,43.2
GARLIC (G),183.4,34.7,33.5,0.5,,,,11.2,15.8,15.5,13.6,7.1,315.3
GARLIC,4519.8,9150.6,5268.2,3296.3,3706.8,3605.5,3795.4,3456.8,4102.7,4407.5,4724.4,6819.9,56853.9
M.GINGER,7448.0,6249.3,6117.0,4987.6,6292.4,6946.3,8760.7,12088.4,12636.0,11904.6,10696.4,9241.7,103368.4
GALGAL,,,,3.6,0.2,1.4,12.6,330.1,21.7,14.2,,,383.8
GAWAR,482.8,643.2,774.7,525.6,618.1,1252.5,682.8,302.3,12.7,3.9,8.4,436.7,5743.7
G.CORRINDER,2317.3,2639.5,3413.4,1485.0,1152.1,1152.0,2044.8,2846.9,2262.1,1614.7,1469.9,2179.0,24576.7
GARMA,,,1.4,,0.7,1.6,,3.0,,,,,6.7
GOURD,5093.0,2521.6,2439.4,4172.0,3666.9,3474.5,3151.9,1752.7,2365.9,2847.6,2107.2,6070.8,39663.5
JIMIKAND,260.2,172.1,119.2,549.0,1489.8,1738.6,1736.5,1461.6,1059.7,976.1,735.2,854.7,11152.7
COMMODITY,APRIL,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,TOTAL
YAM POTATO,5.6,,78.4,218.3,389.1,344.5,221.3,80.8,24.4,58.6,52.5,22.6,1496.1
KACHNAR,,2.6,2.0,,0.1,,0.3,,,,,1.3,6.3
KACHALU,2.8,16.7,35.2,56.0,104.9,168.2,85.4,27.5,29.2,62.7,33.3,29.5,651.4
B.GOURD,2397.5,2030.8,2420.1,1506.7,916.5,1351.7,1864.3,720.3,764.6,464.3,355.6,1200.5,15992.9
KATHAL,5032.1,4868.2,2878.2,1201.3,302.8,53.7,139.6,785.7,1484.5,2718.6,2837.2,3130.2,25432.1
KACHRI,2.8,200.1,224.6,61.8,33.5,147.6,191.0,5.1,0.3,,,0.4,867.2
KAKRI,672.8,160.5,41.6,7.6,0.1,8.7,1.2,1.6,10.6,4.1,13.1,343.2,1265.1
KAMALKAKRI,117.1,185.2,433.0,543.3,488.7,595.2,380.5,190.8,200.4,206.9,197.4,169.8,3708.3
KAMRACK,,1.4,0.4,0.6,1.2,3.6,5.8,4.9,12.8,6.2,6.9,5.8,49.6
KULFA,1.8,2.3,0.1,,,6.0,2.3,,,,,,12.5
KARONDA,,8.5,21.7,40.8,92.8,67.0,17.6,,,,,,248.4
KUNDRU,1343.7,1781.6,2779.9,3608.1,2207.1,2177.7,1197.6,225.7,133.1,81.1,102.2,487.8,16125.6
KHATTA,,,1.8,,,,,4.0,,,,,5.8
KASERU,,0.3,0.4,,,,,,,,,,0.7
KAKORA,0.7,35.3,67.3,66.9,73.6,315.8,63.4,,,,,7.8,630.8
G.LOBHIYA,10.6,231.9,176.3,125.6,127.8,127.9,128.0,47.5,0.4,15.3,0.1,,991.4
LEHSUA,10.8,36.7,1.1,,,0.1,,,,,,,48.7
LEMON,7479.5,13174.6,13949.4,8322.4,6562.0,4231.5,4071.3,3134.7,3666.2,3690.9,3568.6,4955.3,76806.4
LANKU,0.2,0.1,,,0.2,,,,0.1,1.6,4.2,7.0,13.4
MINT,201.8,208.0,171.9,114.8,84.4,100.0,88.9,81.0,73.3,91.4,99.6,152.4,1467.5
METHI,30.9,56.5,40.2,3.5,18.5,20.0,286.1,794.0,660.9,439.4,241.8,244.3,2836.1
MONGRA,3.6,,0.2,,,,23.5,94.5,39.0,45.6,28.8,2.0,237.2
MANGO KERI,1886.8,5085.0,3129.0,511.1,55.1,3.9,22.5,15.2,25.6,22.8,54.8,300.5,11112.3
MUSHROOM,434.0,401.6,460.2,470.4,396.3,428.9,436.6,1033.0,1775.7,1400.9,1321.2,854.8,9413.6
G.ONION,114.6,79.3,102.4,45.9,188.4,388.5,858.3,720.4,371.0,324.1,212.9,276.4,3682.2
ONION,26675.7,27985.0,29746.3,26538.9,24989.0,28571.8,29283.7,35609.2,34216.9,28624.1,26757.6,31095.2,350093.4
PEAS,1763.1,1746.1,1391.1,1309.5,1692.8,635.0,868.5,2752.4,9623.9,12985.0,8784.5,4540.2,48092.1
PERMAL,2503.2,2483.6,3045.6,3044.4,1886.0,2586.1,2518.2,1003.7,344.3,21.9,0.4,589.8,20027.2
PHUEE,0.6,8.9,13.0,16.6,8.0,1.7,0.9,3.7,4.4,0.2,0.4,,58.4
PUMPKIN,3780.9,1774.0,2902.8,2743.6,3845.3,3359.3,2771.1,1667.4,2190.7,2765.8,2639.4,4440.8,34881.1
S.PETHA,70.0,48.6,52.0,130.4,154.1,104.0,201.0,121.9,46.0,53.0,44.4,78.0,1103.4
SPINACH,1064.4,916.9,913.4,963.3,1084.9,768.3,1690.8,1634.5,1235.5,1260.8,1356.3,1515.9,14405.0
RADISH,1184.2,803.6,458.4,928.1,930.9,1731.5,2989.5,3383.1,2778.1,1748.1,1480.9,1149.3,19565.7
CAPSICUM,2749.0,2638.0,1968.9,2491.5,3450.4,6262.7,5712.8,5144.1,4241.7,4020.8,3804.0,4580.5,47064.4
COMMODITY,APRIL,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,TOTAL
SALAD,146.9,95.2,47.9,250.3,130.7,97.1,58.0,47.4,137.6,133.2,96.8,160.8,1401.9
SAIM,340.5,11.4,3.0,1.0,5.6,32.3,567.1,1101.9,992.3,1418.2,1013.5,297.8,5784.6
SARSON,12.7,2.6,1.8,1.2,2.4,42.6,212.5,448.1,442.9,354.0,212.5,47.0,1780.3
SINGRA,,,,,,,2.6,,2.1,0.7,0.7,0.5,6.6
SINGHI,265.9,128.4,68.3,98.8,133.4,103.9,56.5,84.2,93.9,116.2,146.3,187.7,1483.5
SINGRI,1.6,0.9,,,,1.1,,3.2,1.2,,4.4,8.6,21.0
SWANPHALI,55.5,5.4,,,,,,2.8,3.9,1.2,0.6,2.5,71.9
SWANPLANT,2.5,,,,,,,19.7,255.0,269.2,162.9,28.8,738.1
SWANFLOWER,9.3,0.1,,,,,,,3.4,,0.2,0.8,13.8
SOYA,,,,,0.1,0.2,8.9,20.8,22.2,19.8,13.9,2.2,88.1
S.POTATO,165.2,118.8,60.7,73.7,141.7,481.9,5120.4,4698.5,5438.4,3919.8,1513.0,535.8,22267.9
TOMATO,15803.0,13859.2,13556.7,13642.3,15606.7,14561.4,16293.7,14365.9,16213.1,16810.2,16341.8,18031.5,185085.5
TINDA,1114.4,1348.3,1142.6,577.7,1240.3,1013.5,692.8,144.4,32.5,29.5,14.9,74.4,7425.3
TINDA.C,148.6,2.4,13.3,16.4,,0.1,,39.4,114.2,134.8,197.9,398.7,1065.8
TORI,924.4,1924.6,1705.6,1678.3,1240.1,1358.8,817.4,347.8,343.4,269.7,231.3,255.5,11096.9
TURNIP,8.8,0.5,0.1,,0.4,5.1,56.9,682.3,617.7,437.1,301.2,105.8,2215.9
TEET,,1.3,23.9,17.8,,20.6,,2.9,,2.7,,,69.2
BABYCORN,34.0,45.2,51.3,57.9,45.2,32.8,21.7,25.8,42.5,52.5,57.2,47.4,513.5
G.TURMERIC,12.2,18.8,13.1,6.1,6.4,1.5,52.6,108.9,240.1,144.4,74.4,51.0,729.5
JUGNI,43.6,9.7,4.9,51.1,115.9,61.2,108.6,281.7,221.4,215.4,282.0,309.1,1704.6
R.BANANA,393.8,424.4,612.6,1390.4,1071.4,687.2,506.5,347.8,411.6,441.9,434.6,607.8,7330.0
M.GREEN,589.1,2022.0,3523.6,4046.4,3015.4,1506.1,848.5,657.6,904.3,914.8,752.9,616.1,19396.8
ICEBERG,11.0,8.0,0.1,12.7,8.3,9.1,4.6,6.0,10.0,9.7,5.4,5.0,89.9
SWEET SAAG,,,,,,,,,,,,,0.0
LEMON GRASS,0.1,0.2,,,0.6,,,,0.1,,0.2,,1.2
FENAL ROOT,,,,,,,,,,,,,0.0
C.TOMATO,0.9,0.1,,,,,,,,,,1.1,2.1
TOTAL,181286.9,184643.0,170995.0,162947.2,161597.3,166027.7,183665.7,196852.6,212896.9,207271.5,183096.6,200661.8,2211942.2
COMMODITY,APRIL,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,TOTAL
ALMOND,,191.3,93.0,7.9,,,,,,,,,292.2
APPLE,12787.4,7828.1,4311.4,15198.1,60437.5,85172.5,123819.2,93609.3,81255.6,44233.9,31388.8,31548.0,591589.8
APRICOT,,144.6,27.2,52.3,35.7,,14.8,,,,,,274.6
GUAVA,381.8,125.2,124.5,511.5,1605.2,1136.4,900.0,3026.9,8464.5,11585.6,4577.6,1632.5,34071.7
POMRGRANATE,6365.7,6916.2,7632.5,14496.1,21947.5,18365.9,11789.5,10290.6,13576.4,13097.3,14319.3,14331.1,153128.1
BANANA,5407.8,4348.6,5357.6,4484.6,3807.0,3855.5,3391.3,1861.1,1162.8,1293.1,1127.2,2610.0,38706.6
B.GOSHA,,1.3,6.7,1070.2,4526.4,292.7,3.7,,,0.6,,,5901.6
BELGIRI,1568.9,1492.6,482.9,7.0,,,,0.3,,,1.7,239.0,3792.4
BER,8.2,1.5,0.9,,3.0,0.1,27.8,667.3,1185.9,2357.5,2493.5,1138.1,7883.8
BER(RED),12.9,7.8,6.9,,2.5,20.3,7.5,178.1,145.2,60.7,28.8,11.9,482.6
CHERRY,8.9,398.0,1281.9,240.2,92.2,,17.8,12.9,17.9,23.4,3.9,1.1,2098.2
COCONUT,1982.2,2688.4,2802.0,2880.2,4192.4,4919.6,6061.4,2176.8,1664.6,1963.2,1894.3,4410.8,37635.9
G.COCONUT,14406.6,15272.7,13580.0,11910.8,13732.3,15796.6,22658.7,14371.9,8257.9,5504.6,6522.4,10662.1,152676.6
CHAKOTRA,4.9,1.1,2.7,0.8,6.4,25.5,35.4,338.7,2.2,0.9,1.2,1.6,421.4
C.APPLE,,,11.8,1.6,87.1,103.1,866.7,717.3,32.7,1.2,,,1821.5
SAPOTA,9294.3,5187.7,449.5,357.4,642.2,648.4,617.8,3982.7,7856.8,5121.3,5153.4,7851.7,47163.2
DATE,1883.2,2912.0,947.3,200.5,438.3,452.0,1350.5,2104.4,2329.5,1552.6,1174.1,1654.6,16999.0
FALSA,8.6,197.6,27.4,,,,,,,,,,233.6
GRAPES,5498.9,1476.7,469.1,205.6,258.6,357.5,709.5,1409.2,2483.4,8611.7,12981.8,14439.3,48901.3
GRAY FRUIT,,,1.8,,,3.4,1.8,2.7,0.9,7.2,,,17.8
JAMUN,32.7,822.3,973.9,1522.0,12.4,,0.2,,,,,8.4,3371.9
JAPANI PHAL,,,,,,1.2,6.4,14.4,,,,7.0,29.0
KHIRNI,,2.0,,,,,,,,,,,2.0
KINNOO,22.6,,,,1.8,139.1,7022.7,12438.1,19360.2,20453.5,15787.6,5991.0,81216.6
KIWI,617.1,486.2,503.0,676.6,930.0,1417.5,1435.3,1748.3,1285.2,1382.6,1267.9,1171.5,12921.2
LOQUATE,178.7,2.9,2.0,,,,,,,,,35.8,219.4
LITCHI,4.6,3945.5,6896.0,411.3,0.9,0.1,0.6,0.3,5.0,4.0,1.9,1.7,11271.9
MALTA,400.0,619.1,839.1,795.9,507.0,320.3,1364.2,411.0,45.8,160.4,170.2,215.9,5848.9
MITHA,0.1,,,6.4,75.5,84.0,65.9,14.0,,,,,245.9
MANGO,16709.3,41053.0,65999.9,57463.5,13754.6,2778.0,219.6,124.6,145.6,176.1,309.6,2041.5,200775.3
MANGO ST,14.6,12.2,0.8,0.4,0.6,0.2,1.5,1.0,0.7,0.4,0.4,0.2,33.0
MELON,15985.9,14394.0,8053.4,1657.6,1414.3,924.0,1341.9,1669.6,1335.8,1755.2,1919.7,1579.0,52030.4
MULBERRY,,,,,0.3,,,0.2,0.1,0.4,,,1.0
MOSAMBI,16206.8,14555.7,14733.2,25073.9,39017.1,41064.9,23324.1,5653.8,3420.3,2701.2,2892.2,8378.4,197021.6
COMMODITY,APRIL,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,TOTAL
NAKH,7.2,,0.1,34.0,138.2,1110.7,162.1,3.0,,,,,1455.3
ORANGE,3057.9,671.9,394.5,232.8,572.8,3788.9,9547.0,9184.4,5679.3,2848.6,7254.6,15344.1,58576.8
PEARS,294.7,462.1,711.7,5822.8,5988.1,658.8,565.1,358.0,378.2,275.9,278.1,226.6,16020.1
PEACH,300.5,1613.0,1993.3,936.5,48.9,1.9,,,1.9,2.1,1.0,,4899.1
PAPAYA,7319.3,5662.7,4157.1,5586.6,6692.8,6429.0,5618.6,3833.3,6891.8,7314.4,7251.2,8699.3,75456.1
PINE APPLE,6536.9,8079.9,7495.4,6371.4,5250.4,5296.2,5664.5,5361.6,4398.1,4846.4,4684.6,5256.8,69242.2
PLUM,44.7,527.0,3063.2,6745.6,718.6,78.6,61.6,51.4,39.3,20.4,35.8,17.7,11403.9
RASBERRY,5.0,0.8,,,,,,,0.6,109.4,453.3,480.6,1049.7
SUGARCANE,2719.0,3203.6,2386.4,1053.9,883.9,490.5,739.8,801.0,379.5,363.8,518.6,1656.8,15196.8
STRAWBERRY,40.2,6.0,,,,,,4.2,118.2,328.3,544.7,511.4,1553.0
SARDA,289.1,185.2,358.8,464.8,739.3,590.8,359.9,599.3,386.7,470.8,698.6,1086.5,6229.8
WATER C.N.,,,,,7.2,945.7,6790.7,2886.3,182.0,2.2,0.7,,10814.8
WATERMELON,26000.9,29082.0,12989.0,5318.6,3919.3,2702.6,3871.3,4245.3,4387.0,5253.5,5138.7,8691.1,111599.3
WALLNUT,,,,,,,,,,,,,0.0
ASPERAGUS,4.4,3.1,2.4,5.3,4.2,4.6,4.1,4.7,4.8,4.4,4.2,2.1,48.3
IMLI,1.0,,0.1,24.2,23.5,,16.3,13.3,,23.1,19.0,9.3,129.8
SHANDONG,,,,,,,,,,,,,0.0
YAPEAR,6.3,5.7,24.0,8.8,11.3,0.4,,,,,,,56.5
DRAGAN,184.7,70.6,22.0,59.5,67.3,7.9,65.2,161.9,136.7,183.1,199.9,36.9,1195.7
RAMBRITAN,,,0.2,,1.4,0.1,0.7,,,0.2,,,2.6
LAMBODANA,6.3,4.0,5.3,5.7,3.2,6.2,3.5,4.5,4.1,7.0,6.3,3.7,59.8
AVACADA,0.8,1.7,4.5,3.3,1.3,5.8,6.4,1.9,9.8,6.2,1.5,0.5,43.7
KERREN,,,,,12.9,,,,,,0.5,,13.4
FIG,0.9,0.1,,,,0.1,0.1,0.2,2.6,2.5,3.0,2.0,11.5
BLUE BERRY,,,,,,,,,,,,,0.0
RAMPHAL,,,,,,,,,,,,,0.0
TOTAL,156612.5,174663.7,169226.4,171906.2,192613.4,199997.6,240532.7,184339.8,177035.6,144110.9,131111.8,151987.6,2094138.2
