COMMODITY,APRIL,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,TOTAL
APPLE,1830.8,3537.0,3323.0,3285.0,1335.2,391.1,457.9,531.6,468.3,660.4,958.6,1127.2,17906.1
AMROOD,9.3,4.4,15.6,17.7,11.7,25.3,30.1,16.8,30.6,10.1,9.3,6.1,187.0
POMEGRANATE,,,,0.9,,,438.5,97.1,0.4,1.6,,,538.5
APRICOT,,,,37.6,23.0,,,,,,,,60.6
IMLI,1.0,,,24.2,23.1,,16.3,13.3,,23.1,19.0,9.3,129.3
GRAPES,121.2,73.8,118.4,126.7,205.7,273.3,437.4,382.3,205.1,211.8,197.2,126.6,2479.5
KIWI,309.5,277.6,403.0,467.4,673.3,1222.5,1409.8,1674.4,1232.7,1345.8,1267.9,1171.5,11455.4
MALTA,331.8,565.8,697.7,679.4,479.5,298.3,214.0,52.5,45.8,160.4,170.2,215.9,3911.3
ORANGE,151.7,380.3,370.8,200.0,190.5,143.9,108.8,29.1,79.7,117.4,84.3,80.4,1936.9
MANGO,,26.2,,,461.8,2561.7,162.5,,,,3.1,,3215.3
MANGO ST,0.3,,0.7,0.3,0.6,0.2,1.5,1.0,0.7,0.4,0.4,0.2,6.3
MELON,2.4,18.9,7.0,18.6,4.0,4.3,3.8,3.8,9.3,3.7,3.5,2.4,81.7
DATE,829.1,1613.0,523.1,94.7,283.9,410.1,1350.5,2104.4,2329.5,1552.6,1174.1,1654.6,13919.6
PEARS,244.8,407.3,501.7,415.1,439.2,295.8,454.1,270.4,292.8,266.7,278.1,226.2,4092.2
PEACH,,5.2,0.5,,,1.9,,,1.3,2.1,1.0,,12.0
B.GOSHA,,0.3,1.8,,3.4,,1.5,,,,,,7.0
NAKH,3.6,,,,,,,,,,,,3.6
ASPERAGUS,2.9,2.5,2.3,4.5,3.8,4.6,4.1,4.7,4.8,4.4,4.2,2.1,44.9
LITCHI,2.3,1.1,9.7,3.5,0.6,,0.6,0.3,5.0,4.0,1.9,1.7,30.7
PLUM,15.9,62.6,24.3,8.2,51.6,64.6,59.3,51.0,39.3,18.9,35.8,17.7,449.2
DRAGAN,152.0,67.2,19.6,57.3,67.1,7.2,65.2,161.9,136.7,183.1,199.9,36.9,1154.1
YAPEAR,6.1,5.7,24.0,8.8,11.3,0.4,,,,,,,56.3
CHERRY,,0.4,4.5,34.5,33.0,,,12.9,17.9,23.4,3.9,0.1,130.6
SHANDONG,,,,,,,,,,,,,0.0
KERREN,,,,,12.9,,,,,,,,12.9
LAMBODANA,4.2,3.3,4.4,4.6,3.2,6.2,3.5,4.5,4.1,7.0,6.3,3.7,55.0
W.MELON,,11.0,,,,,,,,,,,11.0
STRAWBERRY,,0.1,,,,,,,,,,,0.1
LEMON,2.6,15.9,2.3,0.3,,3.0,,,,1.7,1.7,0.8,28.3
CHAKOTRA,2.5,0.5,0.4,0.4,0.3,,,,,,,,4.1
FIG,,,,,,,,,,,,,0.0
RAMBRITAN,,,0.2,,1.0,0.1,0.7,,,0.2,,,2.2
