COMMODITY,APRIL,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,TOTAL
APPLE,2605.7,2886.9,2464.4,1923.7,341.1,170.9,136.5,502.5,556.3,621.3,642.0,1153.8,14005.1
AMROOD,31.6,36.4,29.7,31.2,28.3,17.3,26.6,34.0,23.7,21.2,37.3,17.3,334.6
POMEGRANATE,1.6,12.3,,1.4,,0.5,265.6,411.2,48.9,,,13.7,755.2
APRICOT,,,,13.8,,,,,0.3,,,,14.1
IMLI,2.8,15.9,10.4,25.7,9.0,0.1,32.1,35.1,32.9,48.6,14.3,26.2,253.1
GRAPES,62.1,70.4,25.6,51.8,64.2,82.9,172.7,173.6,120.1,161.5,98.5,49.3,1132.7
KIWI,165.6,113.2,78.1,97.5,102.1,180.9,226.7,162.3,129.3,198.7,225.8,229.1,1909.3
MALTA,4.1,33.9,8.6,1.3,3.2,,4.1,2.4,2.2,3.0,,0.9,63.7
ORANGE,76.8,200.7,220.8,188.8,62.7,152.3,187.7,94.2,57.0,82.8,59.1,133.2,1516.1
MANGO,,,,,,204.0,82.4,0.2,0.3,,0.3,0.2,287.4
MANGO ST,4.3,6.1,8.4,5.2,262.7,776.4,5.4,4.3,3.3,2.5,3.1,11.1,1092.8
MELON,22.7,3.7,2.2,3.6,3.5,3.5,4.0,3.3,3.3,2.2,2.9,2.2,57.1
DATE,387.2,558.2,1074.4,1435.1,109.9,35.4,539.9,806.7,1661.5,883.8,351.4,418.1,8261.6
PEARS,228.8,202.8,103.0,73.3,28.3,80.0,400.1,329.0,129.9,251.3,199.3,313.0,2338.8
PEACH,4.5,,,,,,2.7,1.2,0.3,2.6,0.4,,11.7
B.GOSHA,,,,3.5,2.3,8.0,,1.8,,0.3,,0.2,16.1
NAKH,302.5,284.0,216.6,219.0,74.3,82.0,155.2,114.2,83.8,82.7,111.1,26.3,1751.7
ASPERAGUS,4.6,5.6,2.8,7.2,1.6,2.2,2.4,2.0,1.5,1.7,1.4,1.6,34.6
LITCHI,6.2,2.1,0.4,4.9,3.8,4.6,4.2,3.8,6.8,5.6,10.9,5.4,58.7
PLUM,20.5,19.3,11.7,5.2,9.1,23.3,36.3,35.6,18.7,17.7,14.2,15.2,226.8
DRAGAN,0.1,,,,0.1,,0.5,1.6,1.2,2.9,7.2,3.7,17.3
YAPEAR,5.7,1.4,13.3,,,,7.3,2.1,2.6,5.6,15.1,,53.1
CHERRY,,1.1,2.4,6.8,1.5,,,3.5,3.5,7.2,2.4,,28.4
SHANDONG,16.9,6.2,17.7,5.3,,,45.0,44.6,12.2,47.0,24.8,24.7,244.4
MOSAMBI,15.0,,,,,,,,,,,,15.0
LAMBODANA,4.9,16.9,5.3,6.9,5.4,3.3,8.3,7.6,3.2,5.5,7.6,6.0,80.9
W.MELON,12.2,4.0,,,,,,,,,,,16.2
STRAWBERRY,,,,,,,,0.8,1.6,0.6,,,3.0
C.APPLE,,,,,,,2.0,2.2,0.6,,,,4.8
KINNOO,,,,,,,4.2,,8.0,20.8,,13.8,46.8
FIG,,,,,,,,,0.2,,,4.3,4.5
