COMMODITY,APRIL,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,TOTAL
APPLE,1552.7,1951.6,2475.0,2318.7,568.5,279.2,198.5,394.4,741.8,1295.3,1630.3,2029.6,15435.6
AMROOD,28.5,12.4,8.0,15.8,10.2,8.0,12.4,15.5,13.4,7.9,9.0,8.1,149.2
POMEGRANATE,,9.6,9.6,,,24.5,657.3,292.0,,,,,993.0
APRICOT,,,,0.2,,,,,,,,,0.2
IMLI,21.0,2.0,5.0,,3.1,15.1,13.6,10.9,,,,,70.7
GRAPES,110.3,24.2,26.9,37.5,27.2,105.7,158.7,123.7,122.0,120.5,83.7,87.5,1027.9
KIWI,362.9,204.1,162.5,143.7,272.0,708.9,772.4,407.7,329.9,289.3,411.9,463.7,4529.0
MALTA,90.5,50.5,181.6,153.5,109.8,27.9,35.6,17.0,,32.6,24.7,62.6,786.3
ORANGE,241.5,356.4,166.8,149.1,123.8,67.5,128.7,41.8,57.5,67.3,90.0,98.6,1589.0
MANGO,,11.9,,5.4,712.6,2225.1,322.6,,,,0.2,,3277.8
MANGO ST,21.1,37.9,26.2,1.2,1.1,1.6,0.8,0.8,0.7,0.5,0.4,16.5,108.8
MELON,36.2,64.9,26.3,8.4,42.5,116.0,44.0,8.8,9.3,2.0,26.3,1.6,386.3
DATE,424.7,783.6,727.9,105.4,148.5,142.9,418.9,758.9,1239.2,825.1,469.7,169.3,6214.1
PEARS,354.3,283.3,119.2,176.3,133.0,277.3,412.0,288.8,297.7,321.5,227.4,371.7,3262.5
PEACH,,,0.4,,0.2,1.7,,,,,,,2.3
B.GOSHA,,,,,6.5,,,,,2.8,,,9.3
NAKH,94.8,54.1,98.4,63.7,21.4,98.3,27.9,62.2,52.0,107.8,81.0,124.5,886.1
ASPERAGUS,1.7,2.6,2.0,3.5,2.2,4.6,1.3,1.1,0.8,3.1,3.2,5.1,31.2
LITCHI,2.8,1.7,14.3,2.5,0.9,,1.1,0.5,0.3,0.6,0.8,0.6,26.1
PLUM,24.7,7.5,5.2,2.4,34.7,22.4,30.6,41.8,30.3,13.5,25.4,11.8,250.3
DRAGAN,96.5,74.2,16.1,15.7,10.6,6.8,19.7,34.7,34.9,77.4,66.8,20.0,473.4
YAPEAR,15.3,14.2,,,,4.2,38.8,54.0,28.4,26.1,40.7,17.7,239.4
CHERRY,0.8,,3.0,4.4,5.1,,,5.3,6.4,8.8,6.4,0.3,40.5
SHANDONG,65.2,25.1,23.1,3.0,,16.5,98.6,45.2,39.0,47.9,71.9,72.0,507.5
MOSAMBI,,,,82.9,,,,,,,,16.0,98.9
LAMBODANA,6.0,2.1,2.9,4.3,2.6,2.0,4.9,6.4,2.9,1.1,1.8,6.0,43.0
W.MELON,,11.5,16.0,15.0,15.0,,15.0,,,,,,72.5
STRAWBERRY,,,,,,,,,2.0,,,,2.0
C.APPLE,,,,,0.7,,,,,,,,0.7
KINNU,0.2,,,,,,,,83.6,456.4,225.6,15.0,780.8
FIG,,,,,,,,,0.1,,,,0.1
RAMBRITAN,0.7,0.7,,0.2,,0.3,0.9,0.4,,1.1,1.6,0.2,6.1
AVACADA,,,,,,0.8,0.2,,,0.6,0.8,,2.4
SARDHA,,,6.3,16.5,18.9,21.7,37.0,19.8,,,,,120.2
M.GINGER,,,937.4,458.7,36.1,,,,,,,,1432.2
ONION,,,,,,,,,,,,,0.0
LEMON,,,,,,,,0.5,,,,,0.5
TOTAL,3552.4,3986.1,5060.1,3788.0,2307.2,4179.0,3451.5,2632.2,3092.2,3709.2,3499.6,3598.4,42855.9
COMMODITY,APRIL,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,TOTAL
POTATO,36463.3,29668.6,27985.3,31048.9,34424.0,35266.9,38984.6,51798.6,44083.6,41861.3,39866.0,44487.2,455938.3
AMLA,198.0,138.6,91.2,158.0,141.8,202.7,590.7,1046.4,1532.8,1262.9,1129.4,706.3,7198.8
ARVI,4140.1,10254.9,6998.3,4512.0,3842.2,2275.2,1488.5,499.8,350.4,428.8,516.5,770.5,36077.2
ARVI LEAES,,,2.6,5.5,2.2,0.9,,,,,,,11.2
AMRAH,,,0.8,12.9,9.3,2.8,,,,,,2.0,27.8
BRINJAL,2119.9,1788.0,1199.6,1737.4,2251.7,2067.2,1635.9,2134.8,1628.9,1705.3,1886.7,2673.5,22828.9
LADY FINGER,3800.6,2945.3,2528.5,2606.0,3040.4,2334.7,1409.0,353.8,668.4,1631.4,3902.4,6144.8,31365.3
BATHUA,1.9,,,11.4,11.3,25.8,19.8,103.1,386.3,343.5,173.7,39.1,1115.9
BEEN,4388.3,1133.9,967.1,1760.1,1640.3,1332.8,1028.4,1399.5,1654.4,1944.9,3645.7,4215.4,25110.8
BAKLA,7.3,3.9,2.7,,,,,,0.6,8.7,104.7,95.4,223.3
BROKLI,136.3,79.2,34.5,36.3,26.8,36.3,14.3,70.5,167.1,170.3,158.5,117.5,1047.6
CABBAGE,2848.1,4158.2,10914.9,5153.9,4501.8,6397.7,5538.5,5778.8,3937.3,3080.2,2277.4,1903.5,56490.3
CHUKANDAR,530.2,457.7,352.9,848.1,736.2,694.0,599.9,760.9,1100.0,1338.1,1249.4,855.6,9523.0
CHHOLIA PLANT,5.9,,,,,,,,,1.3,176.2,881.3,1064.7
CHHOLIA DANA,36.6,,,,,,,0.6,90.2,305.1,368.2,333.2,1133.9
CHHOLIA LEAVES,,,,,,,,,2.2,1.8,,0.2,4.2
CHOLAI,63.0,109.2,122.0,107.4,89.0,82.6,25.5,25.5,19.1,17.7,20.3,19.0,700.3
CHONGA,,,,,,,,,,,,0.1,0.1
CHIRCHINDA,7.8,8.5,28.0,70.7,62.6,51.8,6.5,0.3,,0.1,1.0,2.2,239.5
CUCUMBER,9447.6,11398.5,5397.0,6544.5,5524.1,5216.9,5226.5,4122.2,6370.5,7085.8,6003.4,5101.2,77438.2
M.CHILLI,9234.3,8360.6,8118.9,6976.9,6113.3,7948.5,10073.8,10904.7,12329.9,14450.1,15629.4,19787.0,129927.4
CARROTS,3017.0,1766.7,1758.4,2531.1,1955.6,2031.3,2644.8,11811.0,19032.4,20052.2,15983.1,8477.8,91061.4
CARROTS (B),4.0,,,0.2,,,,0.7,13.2,63.7,71.3,66.5,219.6
CAULIFLOWER,3313.9,4093.0,5610.0,4858.3,5838.2,6186.2,6051.4,5947.3,5412.3,6280.5,5484.8,4564.6,63640.5
G.GOBHI,3.5,6.3,0.6,0.3,,0.9,10.8,11.2,11.9,11.4,6.8,4.8,68.5
GARLIC (G),9.4,3.9,3.6,23.0,,,,3.9,27.4,24.9,13.7,12.2,122.0
GARLIC,2935.1,2560.7,2404.2,2224.0,2079.9,2085.4,2459.6,2616.2,2917.1,3489.4,6374.5,6105.4,38251.5
M.GINGER,6396.3,4930.5,4748.6,5525.8,6421.7,8602.4,11124.1,13218.2,14437.4,14955.3,11852.9,11054.1,113267.3
GALGAL,6.7,2.2,4.0,,4.1,0.5,37.0,227.5,34.4,5.7,4.1,3.7,329.9
GAWAR,261.3,444.0,393.7,670.0,865.4,964.3,335.4,317.5,20.3,6.3,8.1,50.4,4336.7
G.CORRINDER,1894.9,2387.9,2410.2,819.8,821.0,882.5,1207.0,2175.3,2068.7,1904.4,1711.7,2009.1,20292.5
GARMA,,,,,,,,,,,,,0.0
GOURD,5022.9,2733.9,2556.9,2781.4,3664.2,3694.4,1917.0,1588.7,1787.5,2836.1,2862.0,6742.6,38187.6
JIMIKAND,194.6,44.6,48.0,257.4,562.4,798.1,1299.7,633.2,572.6,514.4,329.9,140.7,5395.6
YAM POTATO,6.3,,8.3,69.1,171.7,191.4,77.7,46.6,25.7,31.6,30.6,42.4,701.4
KACHNAR,0.5,3.2,9.4,,,3.5,,,,,,0.6,17.2
COMMODITY,APRIL,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,TOTAL
KACHALU,15.7,15.4,67.7,327.8,392.0,434.8,212.9,119.7,139.9,217.4,194.6,117.8,2255.7
