COMMODITY,APRIL,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,TOTAL
B.GOURD,2364.5,2120.7,1786.9,1282.8,842.5,1527.7,967.3,554.3,596.6,445.8,478.1,1078.3,14045.5
KATHAL,4785.3,5463.4,2377.7,1221.9,106.9,107.2,484.1,1625.5,2227.2,2414.9,3547.4,4994.1,29355.6
KACHRI,,117.9,221.4,25.8,41.4,227.9,81.6,6.3,,,,1.9,724.2
KAKRI,739.6,285.7,14.1,3.7,,10.5,4.1,6.3,1.4,13.0,96.5,859.3,2034.2
KAMALKAKRI,110.7,252.5,422.7,766.0,449.1,426.6,309.7,249.3,182.4,140.6,189.4,145.4,3644.4
COMMODITY,APRIL,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,TOTAL
KAMRACK,1.1,,,1.0,2.4,9.9,7.5,5.8,7.4,2.7,6.2,2.1,46.1
KULFA,0.4,1.2,2.9,,,7.0,,1.0,,,,0.2,12.7
KARONDA,,1.4,23.0,55.1,52.0,22.4,3.1,0.5,,,,0.2,157.7
KUNDRU,1499.8,1836.0,2376.6,2367.8,1882.5,2962.1,669.7,292.8,69.8,89.5,122.1,324.4,14493.1
KHATTA,22.7,0.3,4.0,13.8,1.1,0.2,10.3,,,,,,52.4
KASERU,,,,2.3,,,,,,0.1,,,2.4
KAKORA,5.1,8.8,30.8,25.6,32.5,217.6,46.8,0.4,,,0.5,,368.1
G.LOBHIYA,6.3,150.8,210.8,92.2,180.5,149.8,118.6,63.9,7.0,0.8,0.3,1.2,982.2
LEHSUA,7.8,32.0,,,,,,,,,,,39.8
LEMON,11089.9,14292.9,12491.8,8568.2,7763.1,7325.9,5931.6,4590.2,4604.8,4995.2,5162.4,5022.3,91838.3
LANKU,,1.3,,,,,,,,6.0,12.6,,19.9
MINT,145.4,139.3,100.9,80.8,72.2,71.3,64.6,55.1,51.6,74.7,137.1,203.7,1196.7
METHI,39.9,3.5,,0.2,6.0,40.1,215.8,607.1,542.5,498.6,426.6,256.2,2636.5
MONGRA,,,,3.0,,1.0,15.8,69.6,50.1,56.2,22.8,0.5,219.0
MANGO KERI,2039.6,3571.2,2688.3,260.4,17.0,18.5,8.0,14.7,26.2,30.9,73.9,247.4,8996.1
MUSHROOM,373.1,364.9,283.0,279.3,288.6,262.6,264.2,362.7,414.1,558.5,584.1,404.8,4439.9
G.ONION,67.6,61.6,43.9,33.0,96.1,188.1,732.5,917.0,306.3,282.8,370.3,286.3,3385.5
ONION,29315.0,29860.8,34536.3,31237.2,29447.8,25791.6,29428.1,27185.9,23865.0,25326.8,25710.5,26074.5,337779.5
PEAS,1721.6,1418.7,1277.2,1583.0,1908.1,575.0,1237.6,3377.8,8449.4,8502.7,8104.6,6194.6,44350.3
PERMAL,2830.1,3380.6,3443.6,2995.8,1486.3,2213.4,1384.9,683.7,97.7,0.4,3.2,1090.8,19610.5
PHUEE,8.1,14.1,8.7,8.0,7.9,7.7,6.2,8.5,8.8,2.2,,0.4,80.6
PUMPKIN,4512.3,2234.9,2802.6,3041.2,3421.6,3396.5,1997.5,2162.3,2141.6,3011.2,3329.1,5724.3,37775.1
S.PETHA,84.3,53.2,64.9,96.2,95.6,116.2,78.0,56.1,47.9,42.6,69.1,37.5,841.6
SPINACH,1089.8,814.0,910.9,758.8,1184.9,1315.8,1426.5,1596.6,1272.6,1187.0,1197.6,1205.5,13960.0
RADISH,1075.8,612.9,768.5,935.5,1278.6,2851.7,3343.5,3383.5,3258.3,2834.0,2646.9,2257.5,25246.7
CAPSICUM,2114.8,2307.3,2268.6,2769.4,3548.9,4615.1,2995.2,3694.8,3467.6,4284.8,4640.4,4780.4,41487.3
SALAD,109.9,74.8,27.8,77.3,76.5,92.3,45.8,47.9,65.3,66.7,128.6,153.4,966.3
SAIM,466.5,8.3,,0.3,9.0,62.8,200.2,634.1,854.8,594.9,797.3,503.7,4131.9
SARSON,8.3,2.7,3.3,1.7,25.9,141.2,278.4,577.4,431.7,345.9,168.3,52.5,2037.3
SINGRA,1.5,,,,,1.4,3.9,,,,1.5,2.3,10.6
SINGHI,269.1,73.2,54.5,72.3,81.9,46.5,21.6,32.9,31.5,80.2,210.2,510.1,1484.0
SINGRI,1.8,,,1.7,,0.4,0.3,1.3,0.1,,10.4,15.6,31.6
SWANPHALI,18.9,,,,0.4,,0.8,5.7,2.7,16.6,8.6,11.7,65.4
SWANPLANT,1.4,,,,,,0.3,82.0,250.3,261.0,138.5,1.1,734.6
SWANFLOWER,,,,,,3.3,,5.8,,,0.9,1.7,11.7
SOYA,5.8,,,,0.3,5.5,8.6,13.3,15.4,12.4,11.3,0.7,73.3
S.POTATO,58.8,48.9,83.4,42.0,76.6,1542.0,4363.4,6104.6,6068.9,4352.1,1504.2,425.2,24670.1
TOMATO,15373.5,12066.6,11823.9,10923.5,10239.7,12347.1,12487.2,10729.8,14472.6,16354.1,15622.9,20266.9,162707.8
TINDA,862.7,1246.1,884.8,512.6,1197.9,721.9,198.3,45.0,34.2,25.5,71.1,76.7,5876.8
TINDA.C,28.9,0.8,,,,,,0.8,17.5,45.4,349.1,353.3,795.8
TORI,425.0,1664.9,1555.9,1158.9,1235.4,1170.6,700.3,143.8,166.1,225.6,207.9,351.5,9005.9
TURNIP,2.5,,0.2,0.1,4.2,35.7,86.5,506.6,743.2,617.4,504.2,148.9,2649.5
COMMODITY,APRIL,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,TOTAL
TEET,,,3.8,,0.3,10.7,0.8,17.9,,,2.4,0.5,36.4
BABYCORN,13.0,11.0,8.1,5.4,54.0,10.4,8.6,11.8,25.4,33.5,67.7,31.8,280.7
G.TURMERIC,12.8,18.2,8.1,8.4,13.2,12.8,59.0,80.0,196.2,113.9,73.7,28.6,624.9
JUGNI,66.7,8.2,2.4,13.8,18.7,21.2,20.4,192.9,295.9,196.3,330.5,308.2,1475.2
R.BANANA,355.7,303.4,317.6,930.6,878.9,706.2,541.6,289.3,254.1,275.7,337.2,410.3,5600.6
M.GREEN,577.0,2342.1,4380.8,5235.0,3338.5,1442.2,858.5,1029.0,820.8,842.8,681.5,467.8,22016.0
ICEBERG,,,,4.8,,2.9,,,,,1.5,0.4,9.6
SWEET SAAG,,,,,,,,0.9,,,,,0.9
LEMON GRASS,1.1,1.0,1.0,0.6,0.2,,,0.2,0.7,0.9,,,5.7
FENAL ROOT,,,,,3.0,,,,,,,,3.0
C.TOMATO,,,,,,,,,,,0.3,,0.3
TOTAL,178814.4,177165.1,171768.1,167306.5,159997.3,167833.9,161352.3,192610.6,199971.5,200159.7,198111.6,209021.3,2184112.3
COMMODITY,APRIL,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,TOTAL
ALMOND,,331.0,396.2,27.1,,,,,,,,,754.3
APPLE,10942.9,9898.3,5177.4,28819.2,71387.7,113819.2,116866.0,102755.6,78395.6,64634.5,41195.1,27687.7,671579.2
APRICOT,,89.8,35.9,53.0,4.9,,,,,,,,183.6
GUAVA,266.0,155.4,182.2,497.5,1713.4,1679.4,1659.2,5148.3,8486.6,6902.8,2749.9,528.4,29969.1
POMRGRANATE,14919.0,16931.2,10997.3,17592.8,21346.1,19918.0,11987.8,14285.7,17469.6,12234.8,10150.9,7895.4,175728.6
BANANA,5372.3,6955.2,4974.9,4616.4,3945.8,6126.0,5254.6,2614.6,1228.9,824.7,1300.1,4463.7,47677.2
B.GOSHA,,,487.8,5407.7,8143.5,1356.9,31.4,3.4,,,,3.2,15433.9
BELGIRI,1434.9,1428.4,436.0,25.5,,,,,,,31.1,784.3,4140.2
BER,2.6,,7.0,3.9,4.7,1.7,17.2,419.8,1324.3,3659.6,4494.9,481.6,10417.3
BER(RED),11.0,56.4,,,1.5,,27.3,214.3,153.2,106.9,25.9,26.3,622.8
CHERRY,4.3,397.3,949.5,429.9,11.7,4.8,,9.5,8.5,28.2,3.9,,1847.6
COCONUT,3071.0,2783.7,3507.6,3502.3,4230.7,6357.2,4299.5,1820.7,1942.0,2007.3,2853.4,4673.8,41049.2
G.COCONUT,14382.4,14576.3,11586.7,13723.9,15860.6,18682.5,22893.9,14622.8,6442.6,5373.0,7102.2,13657.2,158904.1
CHAKOTRA,,0.1,0.8,2.6,27.7,40.0,401.6,2.5,0.6,0.3,5.0,,481.2
C.APPLE,,,,8.8,90.3,118.4,841.1,641.4,31.7,2.4,1.4,0.4,1735.9
SAPOTA,9062.9,4874.4,1451.4,134.8,665.8,2377.8,2471.7,3850.5,7037.8,5432.3,8088.0,11864.3,57311.7
DATE,968.6,1609.6,785.0,53.8,291.6,422.1,857.4,2113.5,2050.3,1084.0,868.0,906.3,12010.2
FALSA,13.8,225.9,47.9,12.5,,,,,,,,,300.1
GRAPES,10426.0,3946.2,737.8,137.3,198.4,278.0,522.4,1700.2,2895.1,8943.9,11731.6,12659.2,54176.1
GRAY FRUIT,,,,,,,2.9,3.4,0.5,0.9,1.1,0.6,9.4
JAMUN,15.9,351.6,1722.4,1954.4,12.9,,,,5.3,,,6.7,4069.2
JAPANI PHAL,,,,,,,5.8,19.1,3.9,1.5,1.4,,31.7
KHIRNI,,,,,,,,0.3,,,,,0.3
KINNOO,16.0,,,,37.3,1156.4,5999.5,8676.5,13179.5,15496.0,13484.4,2790.2,60835.8
KIWI,377.6,258.8,284.8,348.5,520.2,744.5,1087.3,1053.6,655.6,610.1,917.1,882.7,7740.8
LOQUATE,183.4,13.2,0.2,,,,,,,,0.3,53.9,251.0
LITCHI,3.7,4306.9,6206.7,264.9,1.1,1.4,0.3,9.8,0.6,6.8,8.5,2.8,10813.5
MALTA,157.7,158.9,167.0,167.2,106.8,140.8,524.7,514.1,139.8,73.9,156.9,250.5,2558.3
MITHA,,,,11.2,100.5,114.1,87.9,10.4,,,,,324.1
MANGO,35294.8,50490.1,54729.6,42708.8,5551.3,754.4,76.0,59.7,54.8,112.8,502.0,2068.9,192403.2
MANGO ST,20.5,18.7,40.4,0.3,0.9,,0.3,0.7,0.6,,0.8,0.7,83.9
MELON,10204.9,17256.8,7857.1,1701.7,1834.4,1526.0,741.2,1602.5,1180.4,2076.1,3346.4,3760.2,53087.7
MULBERRY,,0.6,0.3,,,,,,,,0.8,0.3,2.0
MOSAMBI,32897.3,31240.4,22514.1,33941.5,39369.2,36885.9,18962.5,5202.7,2728.8,3274.1,4831.7,11186.7,243034.9
NAKH,89.2,77.8,48.3,358.7,285.7,471.8,474.7,137.0,28.1,28.6,62.7,9.0,2071.6
ORANGE,9008.2,582.7,150.3,81.4,225.1,2607.8,5794.3,7146.1,4910.6,2675.5,9537.2,16927.6,59646.8
PEARS,512.2,418.3,468.4,9288.4,6810.9,454.6,313.9,329.2,198.6,203.0,197.6,138.1,19333.2
PEACH,174.2,1618.3,2753.8,1760.3,4.9,3.1,1.0,0.3,1.9,5.7,4.6,3.4,6331.5
PAPAYA,5557.0,7364.6,5055.1,5692.8,5379.0,5285.0,4347.8,4575.0,6838.4,8276.7,8634.7,10613.9,77620.0
PINE APPLE,5464.8,6648.1,5942.3,5979.9,5060.7,5335.3,5937.7,5576.2,3688.6,3741.3,5525.2,6080.8,64980.9
PLUM,26.6,510.5,2198.4,5773.1,1685.7,81.9,91.4,44.0,22.1,8.4,35.3,16.6,10494.0
RASBERRY,11.5,,,,,,,,4.4,161.5,572.2,460.4,1210.0
COMMODITY,APRIL,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,TOTAL
SUGARCANE,2956.8,2682.4,1731.8,1137.9,1048.0,733.5,1316.0,306.5,320.9,362.4,828.9,2253.2,15678.3
STRAWBERRY,37.7,2.2,,,0.4,0.4,0.2,34.2,119.7,381.4,965.9,514.6,2056.7
SARDA,48.7,92.6,136.4,86.9,99.3,180.1,340.4,529.7,435.5,486.7,810.9,688.6,3935.8
WATER C.N.,,,,,5.8,1296.7,4664.9,2537.6,133.8,,0.8,,8639.6
WATERMELON,23001.4,30892.4,16046.1,2731.1,2525.0,3926.4,4824.8,6228.2,3275.9,3828.2,6890.5,13676.1,117846.1
WALLNUT,,,,1.1,,,,,,,,,1.1
ASPERAGUS,6.5,4.9,3.4,3.0,2.3,2.7,1.7,3.3,1.8,2.3,3.3,1.9,37.1
IMLI,11.1,2.5,0.6,0.8,,36.3,17.7,2.8,36.3,,0.9,3.0,112.0
SHANDONG,78.1,89.6,40.0,14.6,8.0,,,0.3,,,,0.8,231.4
YAPEAR,84.4,70.7,46.7,22.5,7.2,2.0,14.4,3.6,,,,,251.5
DRAGAN,25.2,12.7,7.1,8.2,17.4,23.6,33.1,160.4,124.1,160.7,254.2,162.8,989.5
RAMBRITAN,0.2,1.2,2.2,0.1,0.5,0.1,1.5,1.8,,,0.1,0.3,8.0
LAMBODANA,2.3,4.1,6.9,5.3,5.5,6.1,4.7,6.4,10.2,3.1,4.3,3.9,62.8
AVACADA,0.5,1.1,0.3,,0.3,1.4,3.1,0.8,1.3,1.3,1.6,2.1,13.8
KERREN,,,,3.8,,,,,,,,,3.8
FIG,0.1,,,,,,,1.1,2.9,1.6,1.9,1.8,9.4
SNOW PEAS,,,,,,,,,,,,,0.0
ROSEMARY,,,,,,,,,,,,,0.0
THYSAM,,,,,,,,,,,,,0.0
CHERRY TOMATO,,,,,,,,,,,,,0.0
TOTAL,197146.2,219431.9,169922.1,189097.4,198630.7,232954.3,223802.8,194980.1,165571.7,153215.3,148185.6,158194.9,2251133.0
