COMMODITY,APRIL,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,TOTAL
APPLE,2043.4,3228.2,2250.6,1711.2,479.0,191.1,260.0,367.5,445.6,612.4,733.6,1303.8,13626.4
AMROOD,11.6,13.8,12.6,10.2,12.8,11.5,32.7,21.3,13.6,6.1,12.4,9.2,167.8
POMEGRANATE,,,7.5,20.0,,,46.8,35.1,6.0,,,,115.4
APRICOT,,,,17.6,2.1,,,,,,,,19.7
IMLI,,1.0,,,,36.3,17.7,2.5,36.3,,0.5,,94.3
GRAPES,90.9,97.1,43.6,29.8,121.9,161.5,289.1,286.9,130.2,48.1,137.6,88.7,1525.4
KIWI,246.2,236.1,191.3,164.3,256.0,529.4,744.8,816.1,508.5,474.3,690.1,551.8,5408.9
MALTA,94.8,146.3,115.3,92.8,71.5,93.6,134.4,132.4,47.4,73.9,148.3,214.2,1364.9
ORANGE,151.4,304.8,90.2,51.8,106.4,201.7,214.6,135.3,89.4,80.5,96.2,120.1,1642.4
MANGO,,,,,53.7,606.9,,,,0.4,18.5,,679.5
MANGO ST,0.8,12.0,8.5,0.3,0.9,,0.3,0.7,0.6,,0.4,0.2,24.7
MELON,1.6,70.4,15.3,2.5,3.1,3.5,3.4,5.7,4.0,3.8,2.5,45.6,161.4
DATE,252.7,693.4,410.6,,51.9,44.7,252.2,1004.5,932.8,434.3,325.1,451.3,4853.5
PEARS,357.9,392.3,249.7,72.6,40.2,110.7,257.6,292.0,190.5,183.6,158.7,120.2,2426.0
PEACH,,,0.4,1.6,2.3,1.8,,,1.9,1.1,1.4,2.7,13.2
B.GOSHA,,,,2.7,,,,0.6,,,,,3.3
NAKH,59.7,65.6,39.2,31.1,39.8,48.3,53.2,87.1,27.7,28.6,62.7,9.0,552.0
ASPERAGUS,3.8,4.9,2.6,1.7,1.9,2.5,1.5,2.5,1.8,2.3,2.6,1.7,29.8
LITCHI,2.1,1.5,4.1,0.5,0.6,0.3,0.3,1.8,0.6,6.8,6.4,2.2,27.2
PLUM,19.2,13.8,3.7,2.7,35.9,75.0,76.2,34.4,19.4,8.1,31.9,14.3,334.6
DRAGAN,21.1,12.7,6.7,5.0,13.4,20.4,28.4,148.1,122.9,159.4,239.4,144.6,922.1
YAPEAR,72.1,65.3,40.4,14.2,7.2,,14.4,3.6,,,,,217.2
CHERRY,,0.5,1.3,3.5,6.3,4.5,,7.5,7.6,27.3,2.4,,60.9
SHANDONG,66.7,88.1,28.0,5.7,2.6,,,,,,,,191.1
KERREN,,,,3.8,,,,,,,,,3.8
LAMBODANA,1.6,3.8,4.6,4.3,5.1,5.6,4.4,5.6,7.2,3.1,2.8,3.1,51.2
W.MELON,6.0,,17.5,,,16.0,,,,,,,39.5
STRAWBERRY,,,,,,,,,,,,,0.0
LEMON,,39.5,,,,,,0.8,0.6,0.6,,1.9,43.4
KINOO,,,,,,,,,,,,,0.0
FIG,,,,,,,,,,,,,0.0
RAMBRITAN,,1.2,1.9,,0.5,0.1,1.5,1.8,,,0.1,0.3,7.4
AVACADA,,0.8,,,,1.3,,,,0.8,0.3,0.4,3.6
SARDHA,,,,3.6,72.9,58.8,51.5,22.3,,,,,209.1
M.GINGER,,,,,,,,,,,,,0.0
ONION,,,,,,,,,,,,,0.0
TOTAL,3503.6,5493.1,3545.6,2253.5,1388.0,2225.5,2485.0,3416.1,2594.6,2155.5,2673.9,3085.3,34819.7
COMMODITY,APRIL,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,TOTAL
POTATO,36607.5,32414.9,29484.0,35877.9,35850.7,41772.0,35156.4,49387.9,45077.1,42211.9,37742.6,40529.2,462112.1
AMLA,200.0,67.7,56.0,88.7,51.4,277.2,506.5,1204.2,1157.5,831.3,745.8,351.1,5537.4
ARVI,1879.8,5917.7,5918.1,4933.9,3254.1,1816.8,841.5,509.4,353.7,292.2,392.7,855.0,26964.9
ARVI LEAES,,,0.8,4.5,3.7,1.7,1.7,,,3.6,2.7,,18.7
AMRAH,1.2,,,1.6,8.6,0.1,,,,,0.6,,12.1
BRINJAL,2370.4,2013.4,1407.3,2254.7,2252.2,2026.2,2082.6,2192.2,2087.8,1830.9,2286.8,2273.2,25077.7
LADY FINGER,5630.3,2644.8,2537.8,2594.3,2441.7,1425.8,1065.6,960.7,1616.9,2478.8,4571.4,6870.8,34838.9
BATHUA,20.7,3.4,8.5,4.7,1.1,,10.7,148.0,349.1,332.0,204.9,68.9,1152.0
BEEN,2681.1,961.0,1325.9,1789.0,1426.4,1031.9,1181.5,1061.6,1276.1,2323.4,2989.2,4038.3,22085.4
BAKLA,0.1,,,0.2,0.1,0.5,4.6,6.1,0.1,10.7,80.4,69.3,172.1
BROKLI,128.7,72.1,49.2,54.2,91.6,47.4,66.2,97.5,149.7,255.7,393.4,342.2,1747.9
CABBAGE,2649.9,4381.7,6145.5,5599.0,4147.8,2959.1,3098.6,4464.8,3688.8,3474.5,3192.9,2182.2,45984.8
CHUKANDAR,543.5,625.4,513.7,640.2,510.4,755.9,416.1,863.9,1024.2,1101.5,1118.6,756.6,8870.0
CHHOLIA PLANT,10.0,,,,,,,,4.9,4.9,193.5,401.9,615.2
CHHOLIA DANA,20.1,,,,,0.1,0.1,30.9,210.2,416.4,479.5,283.6,1440.9
CHHOLIA LEAVES,,,,,,,,2.7,3.1,0.7,1.8,1.3,9.6
CHOLAI,60.8,101.1,104.8,96.4,93.9,62.2,36.0,19.5,8.3,2.2,5.0,12.9,603.1
CHONGA,,,,,,,,,2.8,1.0,,,3.8
CHIRCHINDA,4.9,3.3,14.7,24.5,36.3,18.5,20.7,0.5,0.2,1.1,0.8,7.2,132.7
CUCUMBER,6673.9,10808.4,6474.5,6541.2,6343.5,6234.7,4224.3,5125.4,5512.8,6423.4,6699.6,7635.9,78697.6
M.CHILLI,9312.8,8811.9,6776.2,5641.4,7166.0,8776.6,8729.1,11090.1,14388.0,13987.6,14285.0,17716.9,126681.6
CARROTS,3086.0,1756.1,1608.5,1840.6,1811.5,1862.7,3864.9,15690.6,17660.7,15727.9,13330.6,7575.7,85815.8
CARROTS (B),4.0,,,,,,,3.8,30.3,72.2,70.0,41.9,222.2
CAULIFLOWER,3781.1,3117.0,5706.9,7876.2,5820.2,7476.1,7902.8,4816.9,6137.7,5671.5,6813.0,5054.5,70173.9
G.GOBHI,1.0,1.5,0.7,0.5,,1.5,13.2,12.3,12.0,8.4,7.1,4.5,62.7
GARLIC (G),10.7,,1.7,0.1,,,,6.6,8.2,9.3,33.3,4.1,74.0
GARLIC,3015.7,3107.3,2530.3,3035.4,3040.5,2233.8,3307.8,3456.1,3543.4,3900.6,5723.9,6087.8,42982.6
M.GINGER,7508.4,6891.9,6395.6,5735.3,7555.9,9909.6,10861.2,14018.4,14360.8,14462.4,12985.9,10101.6,120787.0
GALGAL,,,6.1,,1.1,2.1,221.6,93.0,41.0,9.2,1.8,0.7,376.6
GAWAR,473.5,838.3,886.4,701.2,664.3,558.8,397.7,271.2,11.4,71.6,155.5,308.3,5338.2
G.CORRINDER,2460.7,2541.9,2602.2,852.3,961.8,962.1,1761.9,1936.4,1584.1,1627.2,2047.7,2438.2,21776.5
GARMA,,,,,,0.3,,16.9,,,,,17.2
GOURD,4821.4,2736.7,2814.2,3013.9,3587.6,3136.5,1875.6,1919.5,2466.4,2727.2,2815.2,7302.0,39216.2
JIMIKAND,114.4,56.6,39.3,278.4,644.9,851.3,1677.4,957.5,689.6,540.7,487.7,348.5,6686.3
YAM POTATO,9.0,,24.6,295.5,618.6,619.7,191.8,53.4,33.2,29.4,35.9,28.3,1939.4
KACHNAR,,,4.0,0.8,0.2,,2.6,,,,,0.5,8.1
KACHALU,21.3,18.9,14.9,32.9,143.0,176.2,114.3,67.9,37.7,55.4,55.3,11.5,749.3
